pk_l2;pk_l3;un_pk_l3;un_code_l3;classificationDesc;classificationType;typeCode;desc_l3;updateMark;updateMark_TZ
G-LVL02-IDX-0004;G-LVL03-IDX-0023;HS-C-010515;010515;HS;Goods;C;"Poultry; live, guinea fowls, weighing not more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0024;HS-C-010519;010519;HS;Goods;C;Live ducks/geese/guinea fowls, weighing not >185g;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0025;HS-C-010591;010591;HS;Goods;C;Fowls, live domestic > 185 grams;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0026;HS-C-010592;010592;HS;Goods;C;Fowls, domestic, live we;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0027;HS-C-010593;010593;HS;Goods;C;Fowls, domestic, live we;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0028;HS-C-010594;010594;HS;Goods;C;"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0004;G-LVL03-IDX-0029;HS-C-010599;010599;HS;Goods;C;"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0030;HS-C-010600;010600;HS;Goods;C;Animals, live, except farm animals;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0031;HS-C-010611;010611;HS;Goods;C;"Mammals; live, primates";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0032;HS-C-010612;010612;HS;Goods;C;"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0033;HS-C-010613;010613;HS;Goods;C;"Mammals; live, camels and other camelids (Camelidae)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0034;HS-C-010614;010614;HS;Goods;C;"Mammals; live, rabbits and hares";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0035;HS-C-010619;010619;HS;Goods;C;"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0036;HS-C-010620;010620;HS;Goods;C;"Reptiles; live (including snakes and turtles)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0037;HS-C-010631;010631;HS;Goods;C;"Birds; live, birds of prey";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0038;HS-C-010632;010632;HS;Goods;C;"Birds; live, Psittaciformes";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0039;HS-C-010633;010633;HS;Goods;C;"Birds; live, ostriches; emus (Dromaius novaehollandiae)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0040;HS-C-010639;010639;HS;Goods;C;"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0041;HS-C-010641;010641;HS;Goods;C;"Insects; live, bees";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0042;HS-C-010649;010649;HS;Goods;C;"Insects; live, other than bees";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0005;G-LVL03-IDX-0043;HS-C-010690;010690;HS;Goods;C;"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0006;G-LVL03-IDX-0044;HS-C-020110;020110;HS;Goods;C;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0006;G-LVL03-IDX-0045;HS-C-020120;020120;HS;Goods;C;"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0006;G-LVL03-IDX-0046;HS-C-020130;020130;HS;Goods;C;"Meat; of bovine animals, boneless cuts, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0007;G-LVL03-IDX-0047;HS-C-020210;020210;HS;Goods;C;"Meat; of bovine animals, carcasses and half-carcasses, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0007;G-LVL03-IDX-0048;HS-C-020220;020220;HS;Goods;C;"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0007;G-LVL03-IDX-0049;HS-C-020230;020230;HS;Goods;C;"Meat; of bovine animals, boneless cuts, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0050;HS-C-020311;020311;HS;Goods;C;"Meat; of swine, carcasses and half-carcasses, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0051;HS-C-020312;020312;HS;Goods;C;"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0052;HS-C-020319;020319;HS;Goods;C;"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0053;HS-C-020321;020321;HS;Goods;C;"Meat; of swine, carcasses and half-carcasses, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0054;HS-C-020322;020322;HS;Goods;C;"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0008;G-LVL03-IDX-0055;HS-C-020329;020329;HS;Goods;C;"Meat; of swine, n.e.c. in item no. 0203.2, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0056;HS-C-020410;020410;HS;Goods;C;"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0057;HS-C-020421;020421;HS;Goods;C;"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0058;HS-C-020422;020422;HS;Goods;C;"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0059;HS-C-020423;020423;HS;Goods;C;"Meat; of sheep (including lamb), boneless cuts, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0060;HS-C-020430;020430;HS;Goods;C;"Meat; of sheep, lamb carcasses and half-carcasses, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0061;HS-C-020441;020441;HS;Goods;C;"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0062;HS-C-020442;020442;HS;Goods;C;"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0063;HS-C-020443;020443;HS;Goods;C;"Meat; of sheep (including lamb), boneless cuts, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0009;G-LVL03-IDX-0064;HS-C-020450;020450;HS;Goods;C;"Meat; of goats, fresh, chilled or frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0010;G-LVL03-IDX-0065;HS-C-020500;020500;HS;Goods;C;"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0066;HS-C-020610;020610;HS;Goods;C;"Offal, edible; of bovine animals, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0067;HS-C-020621;020621;HS;Goods;C;"Offal, edible; of bovine animals, tongues, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0068;HS-C-020622;020622;HS;Goods;C;"Offal, edible; of bovine animals, livers, frozen";2023-06-27 13:59:10;Eastern Standard Time
