pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
G-LVL01-IDX-0061-G-LVL02-IDX-0720-G-LVL03-IDX-4033;G-LVL01-IDX-0061;G-LVL02-IDX-0720;G-LVL03-IDX-4033;HS-C-TOTAL;HS-C-62;HS-C-6206;HS-C-620690;62;6206;620690;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Blouses, shirts and shirt-blouses; women's or girls' (not knitted or crocheted)";"Blouses, shirts and shirt-blouses; women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4034;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4034;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620711;62;6207;620711;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Underpants and briefs; men's or boys', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4035;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4035;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620719;62;6207;620719;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Underpants and briefs; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4036;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4036;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620721;62;6207;620721;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Nightshirts and pyjamas; men's or boys', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4037;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4037;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620722;62;6207;620722;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Nightshirts and pyjamas; men's or boys', of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4038;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4038;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620729;62;6207;620729;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Nightshirts and pyjamas; men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4039;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4039;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620791;62;6207;620791;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4040;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4040;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620792;62;6207;620792;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";Mens, boys dressing gowns etc manmade fibre, not knit
G-LVL01-IDX-0061-G-LVL02-IDX-0721-G-LVL03-IDX-4041;G-LVL01-IDX-0061;G-LVL02-IDX-0721;G-LVL03-IDX-4041;HS-C-TOTAL;HS-C-62;HS-C-6207;HS-C-620799;62;6207;620799;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, underpants, briefs, night-shirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys' (not knitted or crocheted)";"Singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4042;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4042;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620811;62;6208;620811;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Slips and petticoats; women's or girls', of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4043;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4043;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620819;62;6208;620819;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Slips and petticoats; women's or girls', of textile materials other than man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4044;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4044;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620821;62;6208;620821;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Nightdresses and pyjamas; women's or girls', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4045;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4045;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620822;62;6208;620822;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Nightdresses and pyjamas; women's or girls', of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4046;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4046;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620829;62;6208;620829;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Nightdresses and pyjamas; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4047;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4047;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620891;62;6208;620891;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4048;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4048;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620892;62;6208;620892;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns etc.; women's or girls', of man-made fibres (not knitted or crocheted), excluding incontinence or other sanitary garments or garment liners of heading no. 96.19"
G-LVL01-IDX-0061-G-LVL02-IDX-0722-G-LVL03-IDX-4049;G-LVL01-IDX-0061;G-LVL02-IDX-0722;G-LVL03-IDX-4049;HS-C-TOTAL;HS-C-62;HS-C-6208;HS-C-620899;62;6208;620899;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls' (not knitted or crocheted)";"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0723-G-LVL03-IDX-4050;G-LVL01-IDX-0061;G-LVL02-IDX-0723;G-LVL03-IDX-4050;HS-C-TOTAL;HS-C-62;HS-C-6209;HS-C-620910;62;6209;620910;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Garments and clothing accessories; babies' (not knitted or crocheted)";Babies garments, accessories of wool or hair, not kni
G-LVL01-IDX-0061-G-LVL02-IDX-0723-G-LVL03-IDX-4051;G-LVL01-IDX-0061;G-LVL02-IDX-0723;G-LVL03-IDX-4051;HS-C-TOTAL;HS-C-62;HS-C-6209;HS-C-620920;62;6209;620920;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Garments and clothing accessories; babies' (not knitted or crocheted)";"Garments and clothing accessories; babies', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0723-G-LVL03-IDX-4052;G-LVL01-IDX-0061;G-LVL02-IDX-0723;G-LVL03-IDX-4052;HS-C-TOTAL;HS-C-62;HS-C-6209;HS-C-620930;62;6209;620930;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Garments and clothing accessories; babies' (not knitted or crocheted)";"Garments and clothing accessories; babies', of synthetic fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0723-G-LVL03-IDX-4053;G-LVL01-IDX-0061;G-LVL02-IDX-0723;G-LVL03-IDX-4053;HS-C-TOTAL;HS-C-62;HS-C-6209;HS-C-620990;62;6209;620990;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Garments and clothing accessories; babies' (not knitted or crocheted)";"Garments and clothing accessories; babies', of textile materials other than cotton or synthetic fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0724-G-LVL03-IDX-4054;G-LVL01-IDX-0061;G-LVL02-IDX-0724;G-LVL03-IDX-4054;HS-C-TOTAL;HS-C-62;HS-C-6210;HS-C-621010;62;6210;621010;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);"Garments; of felt or non-wovens (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0724-G-LVL03-IDX-4055;G-LVL01-IDX-0061;G-LVL02-IDX-0724;G-LVL03-IDX-4055;HS-C-TOTAL;HS-C-62;HS-C-6210;HS-C-621020;62;6210;621020;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);"Garments; overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0724-G-LVL03-IDX-4056;G-LVL01-IDX-0061;G-LVL02-IDX-0724;G-LVL03-IDX-4056;HS-C-TOTAL;HS-C-62;HS-C-6210;HS-C-621030;62;6210;621030;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);"Garments; overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, women's or girls', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0724-G-LVL03-IDX-4057;G-LVL01-IDX-0061;G-LVL02-IDX-0724;G-LVL03-IDX-4057;HS-C-TOTAL;HS-C-62;HS-C-6210;HS-C-621040;62;6210;621040;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);"Garments; men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0724-G-LVL03-IDX-4058;G-LVL01-IDX-0061;G-LVL02-IDX-0724;G-LVL03-IDX-4058;HS-C-TOTAL;HS-C-62;HS-C-6210;HS-C-621050;62;6210;621050;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);"Garments; women's or girls', n.e.c. in item no. 6210.3, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4059;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4059;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621111;62;6211;621111;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Swimwear; men's or boys', (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4060;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4060;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621112;62;6211;621112;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Swimwear; women's or girls', (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4061;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4061;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621120;62;6211;621120;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Ski suits; (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4062;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4062;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621131;62;6211;621131;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);Mens, boys garments nes, of wool or hair, not knit
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4063;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4063;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621132;62;6211;621132;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; men's or boys', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4064;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4064;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621133;62;6211;621133;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4065;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4065;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621139;62;6211;621139;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; men's or boys', of textile materials n.e.c. in item no. 6211.3 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4066;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4066;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621141;62;6211;621141;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits (excl. knitted/crocheted), women's/girls'; other garments, n.e.s. (excl. knitted/crocheted), women's/girls', of wool/fine animal hair"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4067;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4067;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621142;62;6211;621142;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; women's or girls', of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4068;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4068;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621143;62;6211;621143;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0725-G-LVL03-IDX-4069;G-LVL01-IDX-0061;G-LVL02-IDX-0725;G-LVL03-IDX-4069;HS-C-TOTAL;HS-C-62;HS-C-6211;HS-C-621149;62;6211;621149;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Track suits, swimwear and other garments (not knitted or crocheted);"Track suits and other garments n.e.c.; women's or girls', of textile materials n.e.c. in item no. 6211.4 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0726-G-LVL03-IDX-4070;G-LVL01-IDX-0061;G-LVL02-IDX-0726;G-LVL03-IDX-4070;HS-C-TOTAL;HS-C-62;HS-C-6212;HS-C-621210;62;6212;621210;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted";"Brassieres; whether or not knitted or crocheted"
G-LVL01-IDX-0061-G-LVL02-IDX-0726-G-LVL03-IDX-4071;G-LVL01-IDX-0061;G-LVL02-IDX-0726;G-LVL03-IDX-4071;HS-C-TOTAL;HS-C-62;HS-C-6212;HS-C-621220;62;6212;621220;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted";"Girdles and panty-girdles; whether or not knitted or crocheted"
G-LVL01-IDX-0061-G-LVL02-IDX-0726-G-LVL03-IDX-4072;G-LVL01-IDX-0061;G-LVL02-IDX-0726;G-LVL03-IDX-4072;HS-C-TOTAL;HS-C-62;HS-C-6212;HS-C-621230;62;6212;621230;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted";"Corselettes; whether or not knitted or crocheted"
G-LVL01-IDX-0061-G-LVL02-IDX-0726-G-LVL03-IDX-4073;G-LVL01-IDX-0061;G-LVL02-IDX-0726;G-LVL03-IDX-4073;HS-C-TOTAL;HS-C-62;HS-C-6212;HS-C-621290;62;6212;621290;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted";"Braces, suspenders, garters and similar articles; whether or not knitted or crocheted, n.e.c. in heading no. 6212"
G-LVL01-IDX-0061-G-LVL02-IDX-0727-G-LVL03-IDX-4074;G-LVL01-IDX-0061;G-LVL02-IDX-0727;G-LVL03-IDX-4074;HS-C-TOTAL;HS-C-62;HS-C-6213;HS-C-621310;62;6213;621310;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Handkerchiefs (not knitted or crocheted);Handkerchiefs, of silk or silk waste, not knit
G-LVL01-IDX-0061-G-LVL02-IDX-0727-G-LVL03-IDX-4075;G-LVL01-IDX-0061;G-LVL02-IDX-0727;G-LVL03-IDX-4075;HS-C-TOTAL;HS-C-62;HS-C-6213;HS-C-621320;62;6213;621320;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Handkerchiefs (not knitted or crocheted);"Handkerchiefs; of cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0727-G-LVL03-IDX-4076;G-LVL01-IDX-0061;G-LVL02-IDX-0727;G-LVL03-IDX-4076;HS-C-TOTAL;HS-C-62;HS-C-6213;HS-C-621390;62;6213;621390;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Handkerchiefs (not knitted or crocheted);"Handkerchiefs; of textile materials other than cotton (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0728-G-LVL03-IDX-4077;G-LVL01-IDX-0061;G-LVL02-IDX-0728;G-LVL03-IDX-4077;HS-C-TOTAL;HS-C-62;HS-C-6214;HS-C-621410;62;6214;621410;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted);"Shawls, scarves, mufflers, mantillas, veils and the like; of silk or silk waste (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0728-G-LVL03-IDX-4078;G-LVL01-IDX-0061;G-LVL02-IDX-0728;G-LVL03-IDX-4078;HS-C-TOTAL;HS-C-62;HS-C-6214;HS-C-621420;62;6214;621420;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted);"Shawls, scarves, mufflers, mantillas, veils and the like; of wool or fine animal hair (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0728-G-LVL03-IDX-4079;G-LVL01-IDX-0061;G-LVL02-IDX-0728;G-LVL03-IDX-4079;HS-C-TOTAL;HS-C-62;HS-C-6214;HS-C-621430;62;6214;621430;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted);"Shawls, scarves, mufflers, mantillas, veils and the like; of synthetic fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0728-G-LVL03-IDX-4080;G-LVL01-IDX-0061;G-LVL02-IDX-0728;G-LVL03-IDX-4080;HS-C-TOTAL;HS-C-62;HS-C-6214;HS-C-621440;62;6214;621440;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted);"Shawls, scarves, mufflers, mantillas, veils and the like; of artificial fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0728-G-LVL03-IDX-4081;G-LVL01-IDX-0061;G-LVL02-IDX-0728;G-LVL03-IDX-4081;HS-C-TOTAL;HS-C-62;HS-C-6214;HS-C-621490;62;6214;621490;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Shawls, scarves, mufflers, mantillas, veils and the like (not knitted or crocheted);"Shawls, scarves, mufflers, mantillas, veils and the like; of textile materials n.e.c. in heading no. 6214 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0729-G-LVL03-IDX-4082;G-LVL01-IDX-0061;G-LVL02-IDX-0729;G-LVL03-IDX-4082;HS-C-TOTAL;HS-C-62;HS-C-6215;HS-C-621510;62;6215;621510;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Ties, bow ties and cravats (not knitted or crocheted);"Ties, bow ties and cravats; of silk or silk waste (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0729-G-LVL03-IDX-4083;G-LVL01-IDX-0061;G-LVL02-IDX-0729;G-LVL03-IDX-4083;HS-C-TOTAL;HS-C-62;HS-C-6215;HS-C-621520;62;6215;621520;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Ties, bow ties and cravats (not knitted or crocheted);"Ties, bow ties and cravats; of man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0729-G-LVL03-IDX-4084;G-LVL01-IDX-0061;G-LVL02-IDX-0729;G-LVL03-IDX-4084;HS-C-TOTAL;HS-C-62;HS-C-6215;HS-C-621590;62;6215;621590;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Ties, bow ties and cravats (not knitted or crocheted);"Ties, bow ties and cravats; of textile materials other than silk or man-made fibres (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0730-G-LVL03-IDX-4085;G-LVL01-IDX-0061;G-LVL02-IDX-0730;G-LVL03-IDX-4085;HS-C-TOTAL;HS-C-62;HS-C-6216;HS-C-621600;62;6216;621600;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";Gloves, mittens and mitts (not knitted or crocheted);Gloves, mittens and mitts (not knitted or crocheted)
G-LVL01-IDX-0061-G-LVL02-IDX-0731-G-LVL03-IDX-4086;G-LVL01-IDX-0061;G-LVL02-IDX-0731;G-LVL03-IDX-4086;HS-C-TOTAL;HS-C-62;HS-C-6217;HS-C-621710;62;6217;621710;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Clothing accessories n.e.c.; parts of garments or accessories other than those of heading no. 6212 (not knitted or crocheted)";"Clothing accessories; other than those of heading no. 6212 (not knitted or crocheted)"
G-LVL01-IDX-0061-G-LVL02-IDX-0731-G-LVL03-IDX-4087;G-LVL01-IDX-0061;G-LVL02-IDX-0731;G-LVL03-IDX-4087;HS-C-TOTAL;HS-C-62;HS-C-6217;HS-C-621790;62;6217;621790;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted";"Clothing accessories n.e.c.; parts of garments or accessories other than those of heading no. 6212 (not knitted or crocheted)";"Clothing; parts of garments or of clothing accessories, other than those of heading no. 6212 (not knitted or crocheted)"
G-LVL01-IDX-0062-G-LVL02-IDX-0732-G-LVL03-IDX-4088;G-LVL01-IDX-0062;G-LVL02-IDX-0732;G-LVL03-IDX-4088;HS-C-TOTAL;HS-C-63;HS-C-6301;HS-C-630110;63;6301;630110;HS;Goods;C;"Textiles, made up articles; sets; worn clothing and worn textile articles; rags";Blankets and travelling rugs;"Blankets; electric"
