pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
S-LVL01-IDX-0014-S-LVL02-IDX-0019;S-LVL01-IDX-0014;S-LVL02-IDX-0019;;EBOPS 2010-S-3;EBOPS 2010-S-3.2;EBOPS 2010-S-3.2.2;;3.2;3.2.2;;EBOPS 2010;Services;S;Air transport;Freight;
S-LVL01-IDX-0014-S-LVL02-IDX-0020;S-LVL01-IDX-0014;S-LVL02-IDX-0020;;EBOPS 2010-S-3;EBOPS 2010-S-3.2;EBOPS 2010-S-3.2.3;;3.2;3.2.3;;EBOPS 2010;Services;S;Air transport;Other;
S-LVL01-IDX-0015-S-LVL02-IDX-0021-S-LVL03-IDX-0020;S-LVL01-IDX-0015;S-LVL02-IDX-0021;S-LVL03-IDX-0020;EBOPS 2010-S-3;EBOPS 2010-S-3.3;EBOPS 2010-S-3.3.1;EBOPS 2010-S-3.3.1.a;3.3;3.3.1;3.3.1.a;EBOPS 2010;Services;S;Other modes of transport;Passenger;Of which: Payable by border, seasonal, and other short-term workers
S-LVL01-IDX-0015-S-LVL02-IDX-0022;S-LVL01-IDX-0015;S-LVL02-IDX-0022;;EBOPS 2010-S-3;EBOPS 2010-S-3.3;EBOPS 2010-S-3.3.2;;3.3;3.3.2;;EBOPS 2010;Services;S;Other modes of transport;Freight;
S-LVL01-IDX-0015-S-LVL02-IDX-0023;S-LVL01-IDX-0015;S-LVL02-IDX-0023;;EBOPS 2010-S-3;EBOPS 2010-S-3.3;EBOPS 2010-S-3.3.3;;3.3;3.3.3;;EBOPS 2010;Services;S;Other modes of transport;Other;
S-LVL01-IDX-0016;S-LVL01-IDX-0016;;;EBOPS 2010-S-3;EBOPS 2010-S-3.4;;;3.4;;;EBOPS 2010;Services;S;Postal and courier services;;
S-LVL01-IDX-0017;S-LVL01-IDX-0017;;;EBOPS 2010-S-3;EBOPS 2010-S-3.5;;;3.5;;;EBOPS 2010;Services;S;Space transport;;
S-LVL01-IDX-0018-S-LVL02-IDX-0024;S-LVL01-IDX-0018;S-LVL02-IDX-0024;;EBOPS 2010-S-3;EBOPS 2010-S-3.6;EBOPS 2010-S-3.6.1;;3.6;3.6.1;;EBOPS 2010;Services;S;Rail transport;Passenger;
S-LVL01-IDX-0018-S-LVL02-IDX-0025;S-LVL01-IDX-0018;S-LVL02-IDX-0025;;EBOPS 2010-S-3;EBOPS 2010-S-3.6;EBOPS 2010-S-3.6.2;;3.6;3.6.2;;EBOPS 2010;Services;S;Rail transport;Freight;
S-LVL01-IDX-0018-S-LVL02-IDX-0026;S-LVL01-IDX-0018;S-LVL02-IDX-0026;;EBOPS 2010-S-3;EBOPS 2010-S-3.6;EBOPS 2010-S-3.6.3;;3.6;3.6.3;;EBOPS 2010;Services;S;Rail transport;Other;
