pk_l1;un_pk_l1;un_code_l1;classificationDesc;classificationType;typeCode;desc_l1
G-LVL01-IDX-0061;HS-C-62;62;HS;Goods;C;"Apparel and clothing accessories; not knitted or crocheted"
G-LVL01-IDX-0062;HS-C-63;63;HS;Goods;C;"Textiles, made up articles; sets; worn clothing and worn textile articles; rags"
G-LVL01-IDX-0063;HS-C-64;64;HS;Goods;C;"Footwear; gaiters and the like; parts of such articles"
G-LVL01-IDX-0064;HS-C-65;65;HS;Goods;C;Headgear and parts thereof
G-LVL01-IDX-0065;HS-C-66;66;HS;Goods;C;"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof"
G-LVL01-IDX-0066;HS-C-67;67;HS;Goods;C;"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair"
G-LVL01-IDX-0067;HS-C-68;68;HS;Goods;C;"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof"
G-LVL01-IDX-0068;HS-C-69;69;HS;Goods;C;Ceramic products
G-LVL01-IDX-0069;HS-C-70;70;HS;Goods;C;Glass and glassware
G-LVL01-IDX-0070;HS-C-71;71;HS;Goods;C;"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
G-LVL01-IDX-0071;HS-C-72;72;HS;Goods;C;Iron and steel
G-LVL01-IDX-0072;HS-C-73;73;HS;Goods;C;Iron or steel articles
G-LVL01-IDX-0073;HS-C-74;74;HS;Goods;C;Copper and articles thereof
G-LVL01-IDX-0074;HS-C-75;75;HS;Goods;C;Nickel and articles thereof
G-LVL01-IDX-0075;HS-C-76;76;HS;Goods;C;Aluminium and articles thereof
G-LVL01-IDX-0076;HS-C-77;77;HS;Goods;C;(Reserved for possible future use in the Harmonized System)
G-LVL01-IDX-0077;HS-C-78;78;HS;Goods;C;Lead and articles thereof
G-LVL01-IDX-0078;HS-C-79;79;HS;Goods;C;Zinc and articles thereof
G-LVL01-IDX-0079;HS-C-80;80;HS;Goods;C;"Tin; articles thereof"
G-LVL01-IDX-0080;HS-C-81;81;HS;Goods;C;"Metals; n.e.c., cermets and articles thereof"
G-LVL01-IDX-0081;HS-C-82;82;HS;Goods;C;"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal"
G-LVL01-IDX-0082;HS-C-83;83;HS;Goods;C;"Metal; miscellaneous products of base metal"
G-LVL01-IDX-0083;HS-C-84;84;HS;Goods;C;"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
G-LVL01-IDX-0084;HS-C-85;85;HS;Goods;C;"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
G-LVL01-IDX-0085;HS-C-86;86;HS;Goods;C;"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
G-LVL01-IDX-0086;HS-C-87;87;HS;Goods;C;"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
G-LVL01-IDX-0087;HS-C-88;88;HS;Goods;C;Aircraft, spacecraft, and parts thereof
G-LVL01-IDX-0088;HS-C-89;89;HS;Goods;C;Ships, boats and floating structures
G-LVL01-IDX-0089;HS-C-90;90;HS;Goods;C;"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"
G-LVL01-IDX-0090;HS-C-91;91;HS;Goods;C;Clocks and watches and parts thereof
G-LVL01-IDX-0091;HS-C-92;92;HS;Goods;C;"Musical instruments; parts and accessories of such articles"
G-LVL01-IDX-0092;HS-C-93;93;HS;Goods;C;"Arms and ammunition; parts and accessories thereof"
G-LVL01-IDX-0093;HS-C-94;94;HS;Goods;C;"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
G-LVL01-IDX-0094;HS-C-95;95;HS;Goods;C;"Toys, games and sports requisites; parts and accessories thereof"
G-LVL01-IDX-0095;HS-C-96;96;HS;Goods;C;Miscellaneous manufactured articles
G-LVL01-IDX-0096;HS-C-97;97;HS;Goods;C;"Works of art; collectors' pieces and antiques"
G-LVL01-IDX-0097;HS-C-99;99;HS;Goods;C;Commodities not specified according to kind
